date,store,machine_id,spins,bb,rb,event_frag,合算確率,BB確率,Rb確率,投入枚数(IN),払出枚数(OUT),利益(円),1Gあたり利益,稼働率,設定1差分,設定2差分,設定3差分,設定4差分,設定5差分,設定6差分,最小差分,推定設定,データ異常,設定信頼度,店舗日ID,イベント名
2026/03/19,4,3,2923,12,8,0,146.15,243.5833333,365.375,8769,3648,102420,35.03934314,0.2837864078,94.85416667,55.85416667,66.47916667,123.4791667,149.6458333,219.1458333,55.85416667,2,0,10.625,4_46100,通常
2026/03/19,4,4,7655,33,25,0,131.9827586,231.969697,306.2,22965,10320,252900,33.03723057,0.7432038835,195.230303,156.230303,78.73030303,46.33030303,65.33030303,118.769697,46.33030303,4,0,19,4_46100,通常
2026/03/19,4,5,4830,27,10,0,130.5405405,178.8888889,483,14490,7440,141000,29.19254658,0.4689320388,205.1111111,238.1111111,307.6111111,364.6111111,383.6111111,431.1111111,205.1111111,1,0,33,4_46100,通常
2026/03/19,4,6,6087,26,20,0,132.326087,234.1153846,304.35,18261,8160,202020,33.18876294,0.5909708738,195.8596154,156.8596154,79.35961538,41.40961538,60.40961538,118.1403846,41.40961538,4,0,19,4_46100,通常
2026/03/19,4,7,2210,5,6,0,200.9090909,442,368.3333333,6630,1776,97080,43.92760181,0.2145631068,230,197,224.5,305.5,352.5,422,197,2,0,27.5,4_46100,通常
2026/03/19,4,8,5772,20,16,0,160.3333333,288.6,360.75,17316,6336,219600,38.04573805,0.5603883495,87.975,54.975,59.725,140.725,187.725,257.225,54.975,2,0,4.75,4_46100,通常
2026/03/19,4,9,6504,30,23,0,122.7169811,216.8,282.7826087,19512,9408,202080,31.0701107,0.6314563107,245.526087,206.526087,129.026087,48.02608696,45.37391304,92.87391304,45.37391304,5,0,2.652173913,4_46100,通常
2026/03/19,4,10,4172,10,15,0,166.88,417.2,278.1333333,12516,3840,173520,41.5915628,0.4050485437,340.5,307.5,238,181,192.4,261.9,181,4,0,11.4,4_46100,通常
2026/03/20,1,1,5294,28,15,0,123.1162791,189.0714286,352.9333333,15882,8160,154440,29.17264828,0.5139805825,168.0285714,129.0285714,102.3285714,159.3285714,178.3285714,225.8285714,102.3285714,3,0,26.7,1_46101,通常
2026/03/20,1,2,3748,9,9,0,208.2222222,416.4444444,416.4444444,11244,3024,164400,43.86339381,0.3638834951,154.6111111,193.6111111,271.1111111,352.1111111,399.1111111,468.6111111,154.6111111,1,0,39,1_46101,通常
2026/03/20,1,3,5320,25,10,2,152,212.8,532,15960,6960,180000,33.83458647,0.5165048544,244.7,277.7,347.2,404.2,423.2,470.7,244.7,1,0,33,1_46101,ファン感謝デー
2026/03/20,1,4,6408,25,16,2,156.2926829,256.32,400.5,19224,7536,233760,36.47940075,0.6221359223,29.43,36.93,106.43,168.07,215.07,284.57,29.43,1,0,7.5,1_46101,ファン感謝デー
2026/03/20,1,5,3134,6,6,2,261.1666667,522.3333333,522.3333333,9402,2016,147720,47.1346522,0.3042718447,419.3333333,458.3333333,535.8333333,616.8333333,663.8333333,733.3333333,419.3333333,1,0,39,1_46101,ファン感謝デー
2026/03/20,1,6,5129,17,13,2,170.9666667,301.7058824,394.5384615,15387,5328,201180,39.22402028,0.497961165,50.39819005,46.01357466,123.5135747,204.5135747,251.5135747,321.0135747,46.01357466,2,0,4.384615385,1_46101,ファン感謝デー
